"id","agid","title","timestamp","author","author_primary","subject","source","journal","abstract","date","publication_year","publication_year_rev","issn","type","issue","volume","startpage","endpage","pageoffset","page","doi_url","doi","text_availability","language","chorus","pmid","pmid_url","pmcid","pmcid_url","files_ss"
"6493916","6493916","Trait-based evaluation of plant assemblages in traditional farm ponds in Korea: Ecological and management implications","2021-09-14T09:08:18Z","c(""YOON, Sungsoo"", ""KIM, GoWoon"", ""CHOI, Ho"", ""BYUN, Chaeho"", ""LEE, Dowon"")","YOON, Sungsoo","c(""agricultural land"", ""biodiversity conservation"", ""botanical composition"", ""drainage"", ""farm ponds"", ""farms"", ""irrigation"", ""land use"", ""landscapes"", ""multidimensional scaling"", ""nutrient content"", ""plant communities"", ""prediction"", ""sediments"", ""South Korea"")","2019 v.78 no.1","Journal of limnology","The Korean traditional farm pond called dumbeong is an important rural landscape element that supports local biodiversity and is useful in irrigating agricultural fields during dry periods. This study assesses how plant communities in dumbeongs respond to adjacent land use, water depth, open-water surface, and nutrient levels and irrigation usage. Plant functional and species groups, based on trait and species data respectively from 20 dumbeongs in Seocheon-gun, South Korea, were classified by hierarchical analysis and nonmetric multidimensional scaling. Relationships between the plant community composition and explanatory variables at both the species and functional group levels were tested through redundancy analysis. The results showed that irrigation usage prevented nutrient accumulation and water depth reduction of the ponds, and we found water depth was the only significant factor that determined plant composition at both species and functional group levels. The plant functional groups were more useful than plant species in predicting plant composition in dumbeongs, owing to their collective response to water depth and open-water surface. Our results demonstrate that management practices of dumbeong, such as periodic drainage, sediment removal and control of dominant plant species, alter its plant communities and thus need to be considered for biodiversity conservation in agricultural landscapes.","2019-01-03","2019","7981-2019","1129-5767","article","no. 1","v. 78",NA,NA,NA,NA,"http://dx.doi.org/10.4081/jlimnol.2019.1861","10.4081/jlimnol.2019.1861","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7315235","7315235","The dynamics of rubber production in Malaysia: Potential impacts, challenges and proposed interventions","2021-09-14T09:25:27Z","c(""Ali, Muhammad Fadzli"", ""Akber, Md. Ali"", ""Smith, Carl"", ""Aziz, Ammar Abdul"")","Ali, Muhammad Fadzli","c(""compliance"", ""crop diversification"", ""farm income"", ""farms"", ""focus groups"", ""forest policy"", ""imports"", ""livelihood"", ""prices"", ""private sector"", ""profitability"", ""rubber"", ""rubber industry"", ""stakeholders"", ""supply chain"", ""world markets"", ""Malaysia"")","2021 v.127","Forest policy and economics","The rubber industry is one of the largest contributors to Malaysia's GDP and is economically important for the country. However, production has been declining over the last few decades. Similarly, this has also occurred in other crops such as cocoa. The decline in production adversely impacts the livelihood of local rubber smallholder farmers. To understand why this decline in rubber production has occurred, we used a systems thinking approach to analyze the underlying feedback mechanisms controlling rubber production. In addition to secondary data, we conducted focus group discussions and in-depth interviews with various actors and experts in the rubber supply chain across Peninsular Malaysia in order to develop a dynamic hypothesis that explains the decline in rubber production over time. Our analysis shows that feedback loops between global demand and supply, national rubber price, and smallholder farmer income determines rubber production at the local scale. In general, the lack of compliance and participation in the global exports restriction policy, insufficient national price incentives, and the absence of national import regulations have kept rubber prices low, leading to low profitability for smallholder farmers. This has caused smallholder farmers to reduce tapping activities and farm maintenance. Some have left rubber farming altogether. This has reduced rubber plantation area and rubber production. We propose several policy improvements to address the issue: (1) enhance the monitoring of rubber supply in the global market through international collaboration; (2) increase domestic rubber consumption through government projects and incentives and eventually follow this up with strict rubber import regulations; and (3) increase smallholder farmer income through the enhancement of government incentives and R&D, formation of co-operatives, application of crop diversification, and obtaining support from the private sector. The findings of this study are also applicable to other rubber-producing countries due to the similar dynamics that exist in the rubber production system globally. The approach adopted in this study can better facilitate engagement with rubber stakeholders, especially smallholder farmers, and inform the formulation of effective smallholder-oriented policies.","2021-06","2021","7979-2021","1389-9341","article",NA,"v. 127","102449",NA,NA,NA,"https://dx.doi.org/10.1016/j.forpol.2021.102449","10.1016/j.forpol.2021.102449","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7086947","7086947","Molecular characterization of antimicrobial resistance genes on farms and in commercial milk with emphasis on the effect of currently practiced heat treatments on viable but nonculturable formation","2021-09-14T10:26:28Z","c(""Taher, Eman M."", ""Hemmatzadeh, Farhid"", ""Aly, Salwa A."", ""Elesswy, Hamdy A."", ""Petrovski, Kiro R."")","Taher, Eman M.","c(""UHT milk"", ""antibiotic resistance"", ""antibiotic resistance genes"", ""bacteria"", ""bulk milk"", ""farms"", ""food safety"", ""genomics"", ""horizontal gene transfer"", ""milk"", ""pasteurization"", ""pasteurized milk"")","2020 v.103 no.11","Journal of dairy science","Despite the considerable advances that have been made to improve dairy food safety, there is rising concern that pasteurization is not sufficient for the destruction of plasmid-mediated antimicrobial resistance (AMR) genes of resistant bacteria and could stimulate bacteria to enter into a viable but nonculturable (VBNC) state. In the current study, we surveyed the prevalence of 1 genomic and 9 plasmid-mediated AMR genes in 100 samples (bulk tank milk and milk filter socks) at the farm level and 152 commercial milk samples (pasteurized and UHT milks) and assessed the VBNC state in dairy bacteria. Results revealed that sul2 was the most prevalent plasmid-mediated gene in milk filter socks (96%), bulk tank milk (48%), pasteurized milk (68%), and UHT (43%) milk; in contrast, mecA was not detected in any sample. Additionally, commercial pasteurization (as currently practiced) failed to decrease the prevalence of the blaTEM₋B₁ (43%), tetK (30%), and tetA (55%) plasmid-mediated AMR genes; thus, commercial pasteurization may be one of the factors creating the VBNC state in some dairy bacteria. Continued research is necessary to identify bacterial species entering the VBNC state after pasteurization, to assess their potential hazard level and shed more light on the expression and possibility of horizontal gene transfer of those plasmid-mediated AMR genes.","2020-11","2020","7980-2020","0022-0302","article","no. 11","v. 103","9936","9945","9","pp. 9936-9945","https://dx.doi.org/10.3168/jds.2020-18631","10.3168/jds.2020-18631","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6853772","6853772","Structure of benthic macroinvertebrates population in an area of Mopoyem Bay (Ebrie Lagoon, Côte d’Ivoire) exposed to the discharge of a fish farm effluents","2021-09-14T05:17:04Z","c(""Yoboué, Kouamé Parfait"", ""Ouattara, Nahoua Issa"", ""Berté, Siaka"", ""Aboua, Benié Rose Danielle"", ""Coulibaly, Julien Kalpy"", ""Kouamélan, Essetchi Paul"")","Yoboué, Kouamé Parfait","c(""anthropogenic activities"", ""aquatic environment"", ""benthic organisms"", ""biodiversity"", ""dry season"", ""effluents"", ""fish culture"", ""fish farms"", ""macroinvertebrates"", ""seasonal variation"", ""water management"", ""wet season"", ""Cote d'Ivoire"")","2020 v.192 no.4","Environmental monitoring and assessment","Discharges of untreated effluent from fish farming into the aquatic environment are a practice that can affect local biodiversity. This study was conducted to characterize, in the Ebrie Lagoon, the structure of benthic macroinvertebrates inhabiting an environment exposed to effluent discharges from fish farms. The benthic macroinvertebrates were collected with a Van Veen grab seasonally between August 2016 and July 2017 at the effluent discharge point in the lagoon and at a reference station out of anthropogenic activities. Identification of organisms was done using specialized keys. The results revealed that the proportion of tolerant macroinvertebrates is relatively high (47.74%) at the point of discharge of fish farming effluents into the Ebrie Lagoon. While at the reference station, macroinvertebrates population is dominated by sensitive and medium-sensitive taxa (93.53%). The benthic macroinvertebrates population, influenced by seasonal variations, exhibits peaks of abundance and diversity during the rainy seasons, while during the dry seasons, they strongly decline. Fish farming effluents dumped in Ebrie Lagoon lead to structural modifications of the local benthic macroinvertebrates population. These disturbances are intensified in dry seasons and attenuated in rainy seasons. This information should be taken into account in any decision to promote the responsible practice of fish farming and the sustainable management of water resources exploited for fish farming purposes.","2020-04","2020","7980-2020","0167-6369","article","no. 4","v. 192","203","203","1","pp. 203-203","https://dx.doi.org/10.1007/s10661-020-8167-8","10.1007/s10661-020-8167-8","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6717433","6717433","Animal welfare and microbiological safety of poultry meat: Impact of different at-farm animal welfare levels on at-slaughterhouse Campylobacter and Salmonella contamination","2021-09-14T02:49:49Z","c(""Iannetti, Luigi"", ""Neri, Diana"", ""Santarelli, Gino Angelo"", ""Cotturone, Giuseppe"", ""Podaliri Vulpiani, Michele"", ""Salini, Romolo"", ""Antoci, Salvatore"", ""Di Serafino, Gabriella"", ""Di Giannatale, Elisabetta"", ""Pomilio, Francesco"", ""Messori, Stefano"")","Iannetti, Luigi","c(""Campylobacter coli"", ""Campylobacter jejuni"", ""Salmonella Bredeney"", ""Salmonella Infantis"", ""animal welfare"", ""broiler chickens"", ""cecum"", ""chicken carcasses"", ""ethics"", ""farms"", ""feces"", ""flocks"", ""microbiological quality"", ""neck"", ""poultry meat"", ""serotypes"", ""slaughter"", ""slaughterhouses"")","2020 v.109","Food control","Stress factors and poor animal welfare can increase the susceptibility of food-producing animals to diseases, posing microbial risks to consumers. Animal welfare levels, objectively measured with the application of the Welfare Quality® protocol, were assessed in thirteen broiler flocks, including organic ones, to evaluate the presence of statistically significant differences in relation to Campylobacter and Salmonella faecal shedding and consequent microbiological contamination of broiler carcases at slaughterhouse. Each flock underwent animal welfare evaluation the day before slaughtering, followed by Campylobacter and Salmonella detection in faeces (caecal content) and neck skin at slaughterhouse. A total of 1040 samples (520 caecal contents; 520 neck skins) were included in the study. Campylobacter enumeration and Salmonella serotyping were also carried out. The highest welfare scores were reported in organic flocks. Significantly lower Campylobacter concentrations both in caecal content and neck skins (P < 0.05) were reported in organic batches, compared to high welfare conventional batches. Low-welfare batches showed higher prevalence of Salmonella both in neck skins and caecal content, with a statistically significant difference compared to high-welfare batches (43.6% versus 2.9% in neck skins; 19.3% versus 0% in caecal content; P < 0.00001). Salmonella Infantis and Salmonella Bredeney were the most common serotypes, while Campylobacter jejuni and Campylobacter coli were the detected species.This study provides new evidence that high animal welfare standards at farms, other than an ethical issue and a value-add for the end product, could also improve the microbiological safety of poultry meat, ultimately contributing to the protection of consumers.","2020-03","2020","7980-2020","0956-7135","article",NA,"v. 109","106921",NA,NA,NA,"https://dx.doi.org/10.1016/j.foodcont.2019.106921","10.1016/j.foodcont.2019.106921","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6258832","6258832","Extended lactations in dairy production: Economic, productivity and climatic impact at herd, farm and sector level","2021-09-14T06:37:02Z","c(""Lehmann, Jesper Overgård"", ""Mogensen, Lisbeth"", ""Kristensen, Troels"")","Lehmann, Jesper Overgård","c(""beef"", ""cash crops"", ""dairy cows"", ""economic impact"", ""economic sustainability"", ""farm area"", ""farmers"", ""farms"", ""fermentation"", ""greenhouse gas emissions"", ""heifers"", ""herd productivity"", ""herds"", ""insemination"", ""lactation"", ""markets"", ""milk"", ""milk yield"", ""models"")","2019 v.220","Livestock science","The management concept “extended lactation” whereby farmers deliberately delay time of first insemination allow them to utilise the high milk yield potential of modern dairy cows for longer. The main objective of this study was to quantify the effect of different extended lactation strategies on herd productivity, farm economics and sustainability at product level with focus on greenhouse gas emission. The herd model SimHerd simulated cow state, production, replacement and herd dynamics that supported a quantification of the effect of managing either first lactation, older or all cows for calving intervals of either 15 or 17 months compared with 13 months. The initial herd was self-sufficient with replacement heifers, and the extended lactations were achieved by only changing time of first possible insemination while keeping insemination and conception rates as well as all other production and management parameters unchanged. The different extended lactation strategies reduced annual milk production and herd feed use up to 4.1 and 7.1%, respectively, which combined caused herd milk production per kg DM herd feed use to increase with up to 3.5%. Replacement rate per annual cow (per cow per year) was reduced with up to 13.6% points and the number of youngstock per annual cow with 27%. Managing only first lactation cows for extended lactations resulted in close to negligible production effects compared with baseline scenario and positively affected farm contribution margin whereas the other strategies had a negative effect on farm contribution margin per cow of up to 3.2%. The reduction in herd feed use reduced farm area for feed production, and the economic effect of using this area to either feed more cows or grow a cash crop was greater than the negative economic effect of the extended lactation strategy itself. Hence, the overall economic effect depends on the ability of the farmer to realise savings and utilise a potential freed area. Finally, the extended lactation strategies reduced greenhouse gas emissions with up to 8.1% per annual cow where less feed production and less enteric fermentation were determining factors.However, the weight ratio between milk and meat increased up to 34.7% across scenarios, which affected the allocation of emissions. Hence, emissions were reduced per cow but unchanged per kg milk. If the market requires an unchanged supply of milk and beef meat, then these extended lactation strategies caused an indirect emission from production of substitute beef meat, which can lead to an increased total emission. In conclusion, managing dairy cows for extended lactations can be an economically viable production strategy if the farmer is able to realise potential savings and gains. Emissions are reduced per cow but the sector level effect for milk and beef meat can be unchanged or even increased.","2019-02","2019","7981-2019","1871-1413","article",NA,"v. 220","100","110","10","pp. 100-110","https://dx.doi.org/10.1016/j.livsci.2018.12.014","10.1016/j.livsci.2018.12.014","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7109039","7109039","From farm to fork: it could be the case of Lactic Acid Bacteria in the stimulation of folates biofortification in food crops","2021-09-14T10:54:27Z","c(""Viscardi, Sharon"", ""Marileo, Luis"", ""Barra, Patricio Javier"", ""Durán, Paola"", ""Inostroza-Blancheteau, Claudio"")","Viscardi, Sharon","c(""biofortification"", ""economic sustainability"", ""farm to fork"", ""folic acid"", ""food crops"", ""food intake"", ""food security"", ""foods"", ""human nutrition"", ""humans"", ""lactic acid bacteria"", ""lead"", ""nutrients"", ""probiotics"", ""vegetables"", ""vitamin deficiencies"")","2020 v.34","Current opinion in food science","B-group vitamins are essential nutrients for living organisms. Despite that B-group vitamins are present in a multiplicity of foods, vitamin deficiency in human still occur in many countries, mainly by inadequate food intake and unbalanced diets. To overcome this global health problem, chemistry food supplementation is a widely used alternative. Moreover, in the specific case of folic acid, the biofortification with the natural folate form 5-methyltetrahydrofolate (5-MTHF), found in vegetables and produced by certain bacterial taxa such is the case of Lactic Acid Bacteria (LAB), would be a more efficient and secure alternative than the food supplementation of foods with folic acid. This review recommends the possibility to use LAB as an economically sustainable and environmentally friendly plant probiotic in order to produce vitamins biofortificated crops. This new approach could lead something interesting in two aspects: on one hand, the promotion of plant growth, and on the other hand, a biofortificated food crop for human nutrition and health safety to food security.","2020-08","2020","7980-2020","2214-7993","article",NA,"v. 34","1","8","7","pp. 1-8","https://dx.doi.org/10.1016/j.cofs.2020.08.002","10.1016/j.cofs.2020.08.002","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7345888","7345888","Prevalence of fibrinous pericarditis in heavy pigs (170 kg) and its association with other pluck lesions at slaughter inspection","2021-09-14T10:10:50Z","c(""Bottacini, M."", ""Scollo, A."", ""Contiero, B."", ""Mazzoni, C."", ""Pace, V."", ""Gottardo, F."")","Bottacini, M.","c(""comorbidity"", ""farms"", ""liver"", ""milk"", ""pathogenesis"", ""pericarditis"", ""pleurisy"", ""pneumonia"", ""seasonal variation"", ""slaughter"", ""slaughterhouses"", ""Italy"")","2021 v.273","The veterinary journal","This study determined the prevalence of fibrinous pericarditis and its correlation with other pluck lesions in 658 batches of pigs from 236 intensive farms located in Northern Italy over a 12-month period. All pigs were slaughtered at 170 kg, and a total 57,943 plucks (approximately 90 pigs/batch) were individually assessed for the presence of fibrinous pericarditis, pneumonia, pleuritis, and liver milk spots.There was no seasonal variation in the prevalence of plucks with fibrinous pericarditis and annual mean prevalence was 5.6% (range, 0–26.3% at batch level; median, 4.71%). Farm of origin, evaluated as a random effect, accounted for 17.7% batch variation. Batches with a high prevalence of fibrinous pericarditis (≥7.7%) had higher prevalences of pleural, pulmonary, and liver lesions than those with low-middle prevalence of pericarditis; high prevalence of pericarditis was predictive of pluck lesions (P < 0.001). There was a highly significant association between fibrinous pericarditis and severe pleuritis, and 55% of plucks with the highest score for pleuritis also had ongoing fibrinous pericarditis, with a positive correlation at batch level (r² = 0.52; P < 0.001). The co-existence of pericarditis and pleuritis (73.5% of all pericarditis cases) suggests that pleuritis plays a role in the pathogenesis of pericarditis. Based on the prevalence fibrinous pericarditis, and the role of pleuritis as a potential comorbidity, abattoir data on pluck lesions with accompanying farm history, could aid the interpretation and management of on-farm health problems, and inform diagnostic protocols.","2021-07","2021","7979-2021","1090-0233","article",NA,"v. 273","105680",NA,NA,NA,"https://dx.doi.org/10.1016/j.tvjl.2021.105680","10.1016/j.tvjl.2021.105680","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7171108","7171108","Diversity of Escherichia coli strains isolated from day-old broiler chicks, their environment and colibacillosis lesions in 80 flocks in France","2021-09-14T06:09:16Z","c(""Delannoy, Sabine"", ""Schouler, Catherine"", ""Souillard, Rozenn"", ""Yousfi, Léna"", ""Le Devendec, Laetitia"", ""Lucas, Camille"", ""Bougeard, Stéphanie"", ""Keita, Alassane"", ""Fach, Patrick"", ""Galliot, Pascal"", ""Balaine, Loïc"", ""Puterflam, Julie"", ""Kempf, Isabelle"")","Delannoy, Sabine","c(""Escherichia coli"", ""air"", ""farms"", ""flocks"", ""genetic profile"", ""microbiology"", ""serotypes"", ""virulence"", ""France"")","2021 v.252","Veterinary microbiology","Avian colibacillosis is the most common bacterial disease affecting broilers. To better evaluate the diversity and the origin of the causative Escherichia coli strains infecting birds, we conducted a study on 80 broiler flocks. Just before the arrival of chicks on the farm, samples were collected in the farm environment (walls, feeders, air inlets, etc.) and, upon delivery, day-old chicks (DOCs) and the transport boxes were also sampled. Isolates were obtained from these samples, and from organs of chickens exhibiting typical colibacillosis symptoms. The isolates were characterized using high-throughput qPCR to detect a range of genetic markers (phylogroups, main serogroups virulence markers, etc.). A total of 967 isolates were studied, including 203 from 28 colibacillosis episodes, 484 from DOCs, 162 from transport boxes and 118 from the farm environment. These isolates yielded 416 different genetic profiles, of which 267 were detected in single isolates, and the others were observed in up to 44 isolates from nine farms. The distributions of isolates across phylogroups and the main serogroups varied with the origin of isolation. The isolates obtained from colibacillosis cases either shared a single genetic profile or were different. In a few cases, we observed the same profile for isolates obtained from DOCs and colibacillosis lesions in the same flock or different flocks. However, some flocks receiving DOCs contaminated with isolates bearing the genetic profile of colibacillosis cases identified in other flocks remained healthy. This study highlights the huge diversity among avian E. coli isolated from diseased and non diseased birds.","2021-01","2021","7979-2021","0378-1135","article",NA,"v. 252","108923",NA,NA,NA,"https://dx.doi.org/10.1016/j.vetmic.2020.108923","10.1016/j.vetmic.2020.108923","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"5811349","5811349","Coupled wind farm parameterization with a mesoscale model for simulations of an onshore wind farm","2018-09-27T03:07:54Z","c(""Yuan, Renyu"", ""Ji, Wenju"", ""Luo, Kun"", ""Wang, Jianwen"", ""Zhang, Sanxia"", ""Wang, Qiang"", ""Fan, Jianren"", ""Ni, MingJiang"", ""Cen, Kefa"")","Yuan, Renyu","c(""models"", ""wind farms"", ""wind speed"")","2017 v.206","Applied energy","The mesoscale Weather Research and Forecasting (WRF) model coupled with wind farm parameterization is newly developed to simulate the wake flow and power production of a real onshore wind farm. First, wind farm flow field simulations are conducted with 1000m, 500m and 200m horizontal resolutions, and the simulation results capture the wind farm observed data well. In addition, wind farm flow characteristics, power output, and influence on the atmosphere boundary layer (ABL) are resolved at a horizontal resolution of 200m. The wake interactions, wind speed, and power output deficit in the wind farm are analyzed. The power comparison results prove that the proposed method can be applied to simulate the power output of a real onshore wind farm with high accuracy in real time. The influence of the wind farm on the ABL is also discussed. The results show that wind farm effects on the ABL occur mainly within the turbine rotor-spanned heights and the downstream regions behind the wind farm within 10km, within which the speed deficit ratio can exceed 10%. For the region that is 18km downstream of the wind farm, the average speed deficit ratio is only about 2%. This study is the first attempt to reproduce the wake flow and power output of a real onshore wind farm by the WRF model at such high resolution.","2017-11-15","2017","7983-2017","0306-2619","article",NA,"v. 206","113","125","12","pp. 13-125","https://dx.doi.org/10.1016/j.apenergy.2017.08.018","10.1016/j.apenergy.2017.08.018","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7340911","7340911","Future of dairy farming from the Dairy Brain perspective: Data integration, analytics, and applications","2021-09-14T10:03:01Z","c(""Cabrera, Victor E."", ""Fadul-Pacheco, Liliana"")","Cabrera, Victor E.","c(""animal welfare"", ""artificial intelligence"", ""brain"", ""dairy farming"", ""dairy herds"", ""dairy industry"", ""decision making"", ""farms"", ""herd improvement"")","2021 v.121","International dairy journal","Data integration is one of the biggest challenges the dairy industry faces nowadays due to increased number of technologies and data overflow at the farm. Here we review the current situation of precision dairy farming technologies that use integrated data and its application on the management decision process at the dairy farm. The most common data connections were those from activity monitors, dairy herd improvement records, herd management, and milking recordings. Algorithms used can be defined in general as artificial intelligence and machine learning approaches. Most of the 22 revised papers, research or review, demonstrated that applying different algorithms to integrated data provides additional and complementary insights to improve decision-making tools and therefore enhance economic, management and animal welfare, and hence the sustainability of dairy farms. All revised studies acknowledge the importance of live data integration to develop relevant decision support tools to improve decision making.","2021-10","2021","7979-2021","0958-6946","article",NA,"v. 121","105069",NA,NA,NA,"https://dx.doi.org/10.1016/j.idairyj.2021.105069","10.1016/j.idairyj.2021.105069","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7333858","7333858","Accounting for externalities in cross-sectional economic models of climate change impacts","2021-09-14T09:52:13Z","c(""Moretti, Michele"", ""Vanschoenwinkel, Janka"", ""Van Passel, Steven"")","Moretti, Michele","c(""agricultural productivity"", ""climate"", ""climate change"", ""ecological economics"", ""energy"", ""farm income"", ""field crops"", ""natural capital"", ""temperature"")","2021 v.185","Ecological economics","Environmental effects and natural resources depletion associated with agriculture production affect the agriculture response to climate change. Traditional cross-sectional climate response models ignore this requirement. This research estimates the impact of climate on European agriculture using a continental scale Ricardian analysis. We correct farm income by accounting for resources (energy, fertilisers, pesticides, and water) use intensity and calculate the sustainable value for a sample of 9497 specialized field crop farms. Compared with the traditional Ricardian method, the marginal effects of temperature remain positive (but less positive) in Northern countries, while it leads to less damages in Southern countries when net revenue and farms' sustainable values are used as dependent variables. Accounting for the environmental effects and depletion of natural capital improves the ability of the Ricardian method to estimate agriculture climate response functions in the long run.","2021-07","2021","7979-2021","0921-8009","article",NA,"v. 185","107058",NA,NA,NA,"https://dx.doi.org/10.1016/j.ecolecon.2021.107058","10.1016/j.ecolecon.2021.107058","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7406287","7406287","Impact of the Federal Conservation Program Participation on Conservation Practice Adoption Intensity in Louisiana, USA","2021-09-13T04:44:49Z","c(""Pathak, Santosh"", ""Paudel, Krishna P."", ""Adusumilli, Naveen C."")","Pathak, Santosh","c(""conservation practices"", ""conservation programs"", ""environmental management"", ""farms"", ""models"", ""soil"", ""surveys"", ""water quality"", ""Louisiana"")","2021 v.68 no.1","Environmental management","Conservation practices focusing on improving the soil and water quality of working lands are implemented across the United States, supported partially through the United States Department of Agriculture Natural Resources Conservation Service cost-share or incentive payment programs. We assess whether participation in federal conservation support programs induces a change in the number of conservation practices adopted by farmers. We also identify the factors that affect the adoption intensity of different best management practices. We use survey data collected from Louisiana farmers and estimate models using the matching method and Poisson quasi-likelihood model. We find that participation in the cost-share or incentive program leads to an increase in the number of conservation practices on the farms. Similarly, the use of precision technology application and farm being integrated are likely to have a higher number of on-farm conservation practices. Results have implications for federal working lands conservation support programs in the United States.","2021-07","2021","7979-2021","0364-152X","article","no. 1","v. 68","1","16","15","pp. 1-16","http://dx.doi.org/10.1007/s00267-021-01477-8","10.1007/s00267-021-01477-8","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6379578","6379578","A novel method for wind farm layout optimization based on wind turbine selection","2021-09-14T09:23:38Z","Gualtieri, Giovanni","Gualtieri, Giovanni","c(""energy costs"", ""models"", ""wind farms"", ""wind power"", ""wind speed"", ""wind turbines"")","2019 v.193","Energy conversion and management","A novel method was developed to detect the optimal onshore wind farm layout driven by the characteristics of all commercially-available wind turbines. A huge number of turbine combinations (577) was processed, resulting in 22,721 generated layouts. Various assumptions and constraints were considered, mostly derived from the literature, including site features, wind conditions, and layout design. For the latter, an irregularly staggered turbine array configuration was assumed. Wake effects were simulated through the Jensen’s model, while a typical turbine thrust coefficient curve as a function of wind speed was originally developed. A detailed cost model was used, with levelized cost of energy selected as primary and capacity factor as secondary objective function. The self-organizing maps were used to address a thorough analysis, proving to be a powerful means to straightforwardly achieve a comprehensive pattern of wind farm layout optimization.In general, the two optimization functions basically match, while for higher wind potential sites, increasing capacity factor did not necessarily result in decreasing levelized cost of energy. The latter may be minimised by reducing the total number of turbines or the overall wind farm capacity, as well as maximising rotor diameters or minimising rated wind speeds; increasing rated power or hub height is only beneficial for mid-potential sites. The mere maximisation of wind farm energy production is a misleading target, as corresponding to mid-to-high values of levelized cost of energy. In contrast to previous studies, the use of turbines with different rated power, rotor diameter or hub height should be avoided.","2019-08-01","2019","7981-2019","0196-8904","article",NA,"v. 193","106","123","17","pp. 106-123","https://dx.doi.org/10.1016/j.enconman.2019.04.059","10.1016/j.enconman.2019.04.059","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6796486","6796486","Assessment of landscape regeneration of a Natura 2000 site hosting greenhouse farming by using a dashboard of indicators. A case in Sicily through the territorial implementation of a ""pilot project"" at farm level","2021-09-14T04:16:04Z","c(""Tomaselli, Giovanna"", ""Russo, Patrizia"", ""Riguccio, Lara"", ""Quattrone, Marzia"", ""D’Emilio, Alessandro"")","Tomaselli, Giovanna","c(""biodiversity"", ""coasts"", ""ecosystem services"", ""farming systems"", ""farms"", ""greenhouses"", ""habitats"", ""indigenous species"", ""landscapes"", ""pollution"", ""pollution control"", ""Sicily"")","2020 v.92","Land use policy","Rural landscapes within Natura 2000 network are particularly sensitive to any anthropic action which could cause the compromise of protected habitats. Agriculture, if conducted with unsustainable techniques, could cause loss of biodiversity and landscape quality. The aim of this study is to propose a dashboard of indicators to assess the landscape and environmental benefits achievable by a landscape transformation based on a sustainable management of the agriculture activity in an area characterized by the presence of intensive greenhouse farming. The method was applied in the southern coast of Sicily, where there is the largest SCI (Site of Community Importance) and SPA (Special Protection Area) site of the Region. Here, the dune system was seamlessly occupied by greenhouses, so endangering habitats that guarantee the survival of endemic species, such as the Leopoldia gussonei. The main dimensional, visual and agro-environmental indicators for assessing the landscape and environmental pressure were identified and valued both in the actual state and after the hypothesized conversion. The results show that the proposed intervention would allow a meaningful landscape improvement combined with a considerable reduction of the pollution of the area.","2020-03","2020","7980-2020","0264-8377","article",NA,"v. 92","104444",NA,NA,NA,"https://dx.doi.org/10.1016/j.landusepol.2019.104444","10.1016/j.landusepol.2019.104444","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
